Date,F_avg_growth_rate_users,GE_avg_growth_rate_users,AAPL_avg_growth_rate_users,MSFT_avg_growth_rate_users,AAL_avg_growth_rate_users,DIS_avg_growth_rate_users,SPY_avg_growth_rate_users,"('F_returns', 'F')","('GE_returns', 'GE')","('AAPL_returns', 'AAPL')","('MSFT_returns', 'MSFT')","('AAL_returns', 'AAL')","('DIS_returns', 'DIS')"
2018-05-03,0.0011889899769068624,-0.0011793129984198902,-0.03983119918042932,0.005240517437362202,0.006223281239049916,0.004178140894146809,0.006992544227290676,-0.0008919356996771599,-0.01763052362861739,0.0018123035797479314,0.0059885061814739515,-0.0030775360032315735,-0.008632927676600954
2018-05-04,-0.002036616652829726,-2.2145559585573515e-05,-0.014423202760504128,-0.005203619348006838,-0.0041336416442632196,0.002205574143028022,-0.00153337276291865,0.014285997309675835,0.01220407175931304,0.039233363316988346,0.011587350655140716,0.017810525089337448,0.024200190615294437
2018-05-16,-0.0008672404428079483,0.0023228180813632537,0.0018991733079716244,0.003111948519362695,-0.010385453920589316,-0.0025283020145819846,0.0005284015852047297,0.016042745835650685,0.021753617082845844,0.009332540467643868,0.00258013990390471,0.020143750644048053,0.020598749210630096
2018-06-12,0.0013905156195439528,0.0020625759858783344,-0.0008519955220928077,0.006907797152728934,-0.005598117256428781,-0.00506497898659819,0.004160857441617205,0.006649816492164451,0.0,0.005490580133321599,0.0025730847474929597,-0.016983723530803574,-0.00019153121162307496
2018-06-13,-0.0008401968621435385,-0.00025279412365941667,-0.0014269718646177099,0.002981737754983227,0.025498066422829924,-0.006909811773597951,0.0030527017185004723,-0.007431595250083967,-0.006437435869974695,-0.008216765671259174,-0.004540628290093052,-0.01128776451251301,0.018978306570525127
2018-06-14,0.0001686795447213285,0.0007415825342480531,0.0018736177934735032,0.001819088585073736,0.006816416629195077,-0.009636363150825056,0.0003269993305525798,-0.010815325737780768,-0.017998793015149173,0.0005241959254369544,0.005651815916296599,0.003727969038679557,0.022951708477213062
2018-06-27,0.0015767047711441329,0.005717707730491517,0.0031965682633774417,0.004935801622519165,0.010234882558720626,0.0018300798210708624,0.003023254566616229,-0.008680757373593861,0.016011284917466062,-0.0014637091946880787,-0.015543302907584322,-0.02123313770448454,-0.002877373370926084
2018-06-28,0.0004584873029498393,0.0012775123241777209,0.00011734789332851214,0.003830996254468255,0.01210993925242887,0.0023895259997326335,0.003119307264242588,-0.012258846698902204,-0.009312052591653686,0.007276222410810718,0.01117496634534798,-0.0015682607493242573,0.007791326657348385
2018-06-29,0.0005897909273553381,-0.0034308074345485995,0.0005446074454036332,0.003512121654112965,0.008827152045983278,0.0019199386256743,0.002407724620272722,-0.018617495482567747,-0.01590763268144957,-0.0021023705339558996,-0.0002026703700931387,-0.006282896216825984,0.00038183337655972593
2018-07-02,0.0014577571444833737,-0.0010552478585434955,0.0003862069118043543,0.0008155257186082121,0.0028941884695530273,0.0015201790874161958,0.0011919436651648407,0.0027104829066759706,-0.01763409549812711,0.011182292185957232,0.014197238411564506,0.010537495643085704,0.004961479581243822
2018-07-03,0.003279515093852936,-0.0031880282350996714,0.0008185420500415042,0.0015434467971757737,0.00646427334641575,0.0025033653420627466,0.0017972853208136907,-0.00991037618526569,0.0,-0.017416378654920517,-0.009599215136955164,-0.01590181270708446,-0.012247168209232995
2018-07-05,0.0004890685324616673,-1.959468960865962e-05,0.0003364785806561077,0.0001475980463387927,-0.000610081598413803,0.0009859985572036045,-0.000326880534882501,0.0054597798589841595,0.004487519700251408,0.008047262673031463,0.007168117984082567,0.0063575846629231325,0.012495033445327097
2018-07-06,0.002135202158858318,-0.0005818007872608888,-0.0007331111483626085,-0.0015971613002024876,-0.000982449446775946,0.001297369095918599,-0.0018134545602372931,0.0009051079030470977,0.031273417774522194,0.01386166567176983,0.01403382880235382,0.0026322417037811796,0.00267940952674528
2018-07-09,0.0003470202284259205,0.0031495363775198015,-0.0006612395794616255,-0.0001627912483425087,0.0008398228737211966,-0.00020621860748593068,0.0007007422545803887,0.012658058544686268,0.007220072628375984,0.013885473051293173,0.006820839362110087,0.03202947033771708,0.011834378006755797
2018-07-10,0.001381464997007864,0.007032880368319505,-0.0020367810557222477,0.00012630710586014615,0.0061217484171181,-0.0008119069171053095,0.0009697154496768334,0.004464294785566425,0.015770320945095673,-0.0012067494110752364,0.002651005758529168,-0.004833608085445085,9.436954905028827e-05
2018-07-11,0.002211766622937761,0.004597525972211747,0.0002126901420751448,0.0013109284932246723,0.05602100195234749,-0.0015764844790566723,0.00013105927775702853,-0.01600022201721729,-0.012702739481710634,-0.012975950486100007,-0.001371014943191473,-0.08077695034814503,0.018956798000756336
2018-07-12,0.001534826065270778,0.0018136621258824093,0.0010629473305994175,-0.0007853302541993568,0.12649764415526144,-0.003144778324733921,0.0006782314274382806,-0.0018064318172531513,0.0,0.016765778619437288,0.02167088182952126,0.01028927783336897,0.0019437495986311948
